Name,UID,Code,Parent UID,Short name,Description,Opening date,Closed date,Comment,Feature type,,URL,Contact person,Address,Email,Phone number,,,
Kanhchang,,VL209040500,zoWFieWome8,,,,,,,"[102.800089,12.579157]",,,,,,VLVL209040500,,20904
Kanhchaing Khnong,,VL209040600,zoWFieWome8,,,,,,,"[102.807022,12.610358]",,,,,,VLVL209040600,,20904
Srae Andoung Muoy,,VL209040900,loAbcNqNrT3,,,,,,,"[102.738759,12.570106]",,,,,,VLVL209040900,,20905
Chhak Rokar,,VL209050100,loAbcNqNrT3,,,,,,,"[102.740888,12.57063]",,,,,,VLVL209050100,,20905
Chhak Rokar (M),,VL209050200,loAbcNqNrT3,,,,,,,"[102.740888,12.57063]",,,,,,VLVL209050200,,20905
Samlout,,VL209050201,loAbcNqNrT3,,,,,,,"[102.739424,12.670363]",,,,,,VLVL209050201,,20905
O Ta Teung,,VL209050300,loAbcNqNrT3,,,,,,,"[102.762118,12.650849]",,,,,,VLVL209050300,,20905
O Ta Teung(M),,VL209050301,loAbcNqNrT3,,,,,,,"[102.739424,12.670363]",,,,,,VLVL209050301,,20905
Kantuot,,VL209050302,loAbcNqNrT3,,,,,,,"[102.763622,12.657347]",,,,,,VLVL209050302,,20905
Ou Chrab,,VL209050400,loAbcNqNrT3,,,,,,,"[102.734073,12.577829]",,,,,,VLVL209050400,,20905
Boeung Run,,VL209050500,loAbcNqNrT3,,,,,,,"[102.76089,12.645585]",,,,,,VLVL209050500,,20905
Kbal Prolean,,VL209050600,loAbcNqNrT3,,,,,,,"[102.777511,12.643776]",,,,,,VLVL209050600,,20905
Ou Ta Noeng(Bâ Lang),,VL209050601,loAbcNqNrT3,,,,,,,"[102.707145,12.654773]",,,,,,VLVL209050601,,20905
Kampong Tuk,,VL209050700,gDjwjcKessW,,,,,,,"[102.775974,12.728081]",,,,,,VLVL209050700,,20906
,,VL209060100,gDjwjcKessW,,,,,,,"[102.775974,12.728081]",,,,,,VLVL209060100,,20906
Kampong Tuk (M),,VL209060101,gDjwjcKessW,,,,,,,"[102.775974,12.728081]",,,,,,VLVL209060101,,20906
Kamchat,,VL209060102,gDjwjcKessW,,,,,,,"[102.818741,12.690536]",,,,,,VLVL209060102,,20906
Srae Sdau,,VL209060200,gDjwjcKessW,,,,,,,"[102.863302,12.746377]",,,,,,VLVL209060200,,20906
Ampoep,,VL209060300,gDjwjcKessW,,,,,,,"[102.830517,12.717255]",,,,,,VLVL209060300,,20906
Srae Chipov,,VL209060400,gDjwjcKessW,,,,,,,"[102.865472,12.726911]",,,,,,VLVL209060400,,20906
Ta Non,,VL209060500,gDjwjcKessW,,,,,,,"[102.820477,12.719089]",,,,,,VLVL209060500,,20906
Ou Snguot,,VL209060600,aqGhijjTWcg,,,,,,,"[102.864412,12.632075]",,,,,,VLVL209060600,,20907
Prey Rumchek,,VL209070100,aqGhijjTWcg,,,,,,,"[102.866701,12.654515]",,,,,,VLVL209070100,,20907
Prey Russei(M),,VL209070200,aqGhijjTWcg,,,,,,,"[102.866701,12.654515]",,,,,,VLVL209070200,,20907
Son prambun(M),,VL209070201,aqGhijjTWcg,,,,,,,"[102.866701,12.654515]",,,,,,VLVL209070201,,20907
Ou Tontuem,,VL209070202,aqGhijjTWcg,,,,,,,"[102.858669,12.608921]",,,,,,VLVL209070202,,20907
Ta Sanh Khang Chheung,,VL209070300,aqGhijjTWcg,,,,,,,"[102.854073,12.598374]",,,,,,VLVL209070300,,20907
Ta Sanh Khang Tboung,,VL209070400,aqGhijjTWcg,,,,,,,"[102.821012,12.577909]",,,,,,VLVL209070400,,20907
Anlong Puok,,VL209070500,aqGhijjTWcg,,,,,,,"[102.849552,12.598736]",,,,,,VLVL209070500,,20907
Doun Tret,,VL209070600,aqGhijjTWcg,,,,,,,"[102.945279,12.6638]",,,,,,VLVL209070600,,20907
Troneab malou(M),,VL209070700,aqGhijjTWcg,,,,,,,"[102.945279,12.6638]",,,,,,VLVL209070700,,20907
Srae Trach,,VL209070701,aqGhijjTWcg,,,,,,,"[102.894494,12.599536]",,,,,,VLVL209070701,,20907
Chamkar Stueng,,VL209070800,aqGhijjTWcg,,,,,,,"[102.906618,12.615781]",,,,,,VLVL209070800,,20907
Thnal Bat,,VL209070900,bITvhInjhTz,,,,,,,"[102.367188,13.391988]",,,,,,VLVL209070900,,21001
heng dan,,VL210010100,bITvhInjhTz,,,,,,,"[102.367188,13.391988]",,,,,,VLVL210010100,,21001
Thnal Bambaek,,VL210010101,bITvhInjhTz,,,,,,,"[102.36455,13.393587]",,,,,,VLVL210010101,,21001
Kaoh Touch,,VL210010200,bITvhInjhTz,,,,,,,"[102.362741,13.391896]",,,,,,VLVL210010200,,21001
Tuol Chrey,,VL210010300,bITvhInjhTz,,,,,,,"[102.368382,13.397628]",,,,,,VLVL210010300,,21001
Ou toek sa oy,,VL210010400,bITvhInjhTz,,,,,,,"[102.368382,13.397628]",,,,,,VLVL210010400,,21001
Kbal Hong,,VL210010401,xzBvVb3qtxt,,,,,,,"[102.361164,13.386776]",,,,,,VLVL210010401,,21002
Pralay Prak,,VL210020100,xzBvVb3qtxt,,,,,,,"[102.360084,13.385129]",,,,,,VLVL210020100,,21002
Andoung Pir,,VL210020200,xzBvVb3qtxt,,,,,,,"[102.360632,13.38397]",,,,,,VLVL210020200,,21002
Tuek Phos,,VL210020300,xzBvVb3qtxt,,,,,,,"[102.358818,13.383581]",,,,,,VLVL210020300,,21002
Tuek Thla,,VL210020400,xzBvVb3qtxt,,,,,,,"[102.359977,13.383069]",,,,,,VLVL210020400,,21002
Veal Vong,,VL210020500,kNU6KuN6wuT,,,,,,,"[102.404171,13.423014]",,,,,,VLVL210020500,,21003
Veal Vong Keut,,VL210030100,kNU6KuN6wuT,,,,,,,"[102.394352,13.424042]",,,,,,VLVL210030100,,21003
Veal vong,,VL210030101,kNU6KuN6wuT,,,,,,,"[102.394352,13.424042]",,,,,,VLVL210030101,,21003
Ta Sda,,VL210030102,kNU6KuN6wuT,,,,,,,"[102.374911,13.42599]",,,,,,VLVL210030102,,21003
Chamkar Lhong,,VL210030200,kNU6KuN6wuT,,,,,,,"[102.370019,13.417637]",,,,,,VLVL210030200,,21003
Koun Phnum Cheung,,VL210030300,kNU6KuN6wuT,,,,,,,"[102.369208,13.406481]",,,,,,VLVL210030300,,21003
Koun Phnum Tboung,,VL210030400,kNU6KuN6wuT,,,,,,,"[102.371302,13.402311]",,,,,,VLVL210030400,,21003
Ou Choamnoab,,VL210030500,kNU6KuN6wuT,,,,,,,"[102.498907,13.39405]",,,,,,VLVL210030500,,21003
Ou,,VL210030600,tUQMattfCLu,,,,,,,"[102.360475,13.439715]",,,,,,VLVL210030600,,21004
Kilou Dabbei,,VL210040100,tUQMattfCLu,,,,,,,"[102.359983,13.437425]",,,,,,VLVL210040100,,21004
Boeng Prolit,,VL210040200,tUQMattfCLu,,,,,,,"[102.498907,13.39405]",,,,,,VLVL210040200,,21004
Kandoal,,VL210040300,tUQMattfCLu,,,,,,,"[102.508906,13.386424]",,,,,,VLVL210040300,,21004
Sralau Chrum,,VL210040400,BBNCsGTsszv,,,,,,,"[102.358734,13.461306]",,,,,,VLVL210040400,,21005
Chheu Teal,,VL210050100,BBNCsGTsszv,,,,,,,"[102.360651,13.453105]",,,,,,VLVL210050100,,21005
Damnak Cheak,,VL210050200,BBNCsGTsszv,,,,,,,"[102.359831,13.452311]",,,,,,VLVL210050200,,21005
Pou Chrey,,VL210050201,BBNCsGTsszv,,,,,,,"[102.360843,13.446585]",,,,,,VLVL210050201,,21005
Ou Trav Chu,,VL210050300,BBNCsGTsszv,,,,,,,"[102.547323,13.402647]",,,,,,VLVL210050300,,21005
Tlok Sanke,,VL210050400,BBNCsGTsszv,,,,,,,"[102.547263,13.402448]",,,,,,VLVL210050400,,21005
Ou Krous,,VL210050401,BBNCsGTsszv,,,,,,,"[102.681845,13.37833]",,,,,,VLVL210050401,,21005
Kamnor Beng,,VL210050500,BBNCsGTsszv,,,,,,,"[102.655659,13.384422]",,,,,,VLVL210050500,,21005
Ou Korki,,VL210050600,BBNCsGTsszv,,,,,,,"[102.612343,13.39429]",,,,,,VLVL210050600,,21005
Toul Krasang,,VL210050700,BBNCsGTsszv,,,,,,,"[102.61849,13.369835]",,,,,,VLVL210050700,,21005
Ou Lvea,,VL210050800,NGJSPDf1LpU,,,,,,,"[102.35988,13.473766]",,,,,,VLVL210050800,,21006
Phnom Russei,,VL210060100,NGJSPDf1LpU,,,,,,,"[102.364596,13.495931]",,,,,,VLVL210060100,,21006
Spean Youl,,VL210060101,NGJSPDf1LpU,,,,,,,"[102.358784,13.46688]",,,,,,VLVL210060101,,21006
Ou Kach,,VL210060200,NGJSPDf1LpU,,,,,,,"[102.520676,13.440866]",,,,,,VLVL210060200,,21006
Reaksmei,,VL210060203,NGJSPDf1LpU,,,,,,,"[102.359323,13.479939]",,,,,,VLVL210060203,,21006
chamkar Tabun,,VL210060300,NGJSPDf1LpU,,,,,,,"[102.359323,13.479939]",,,,,,VLVL210060300,,21006
Kilou Prambuon,,VL210060301,NGJSPDf1LpU,,,,,,,"[102.359525,13.476707]",,,,,,VLVL210060301,,21006
Chambak,,VL210060400,NGJSPDf1LpU,,,,,,,"[102.360099,13.470652]",,,,,,VLVL210060400,,21006
Damnak Chek,,VL210060500,NGJSPDf1LpU,,,,,,,"[102.505803,13.423336]",,,,,,VLVL210060500,,21006
O Thma,,VL210060600,NGJSPDf1LpU,,,,,,,"[102.511204,13.436617]",,,,,,VLVL210060600,,21006
Kbal Chrab,,VL210060700,NGJSPDf1LpU,,,,,,,"[102.509345,13.405663]",,,,,,VLVL210060700,,21006
Damnak Chann,,VL210060800,NGJSPDf1LpU,,,,,,,"[102.423424,13.449032]",,,,,,VLVL210060800,,21006
Sror lao Chrum,,VL210061100,NGJSPDf1LpU,,,,,,,"[0,0]",,,,,,VLVL210061100,,21006
Tuol Khpos,,VL210061200,xdH0pgybu2D,,,,,,,"[102.359703,13.321718]",,,,,,VLVL210061200,,21101
Beng S'at,,VL211010100,xdH0pgybu2D,,,,,,,"[102.363393,13.308061]",,,,,,VLVL211010100,,21101
Phnum Proek,,VL211010200,xdH0pgybu2D,,,,,,,"[102.373111,13.294845]",,,,,,VLVL211010200,,21101
Koul Samyong,,VL211010300,xdH0pgybu2D,,,,,,,"[102.370839,13.298679]",,,,,,VLVL211010300,,21101
Ou Yeay Ta,,VL211010302,xdH0pgybu2D,,,,,,,"[102.427955,13.265421]",,,,,,VLVL211010302,,21101
Sralau,,VL211010303,xdH0pgybu2D,,,,,,,"[102.35858,13.324037]",,,,,,VLVL211010303,,21101
Kokir,,VL211010400,xdH0pgybu2D,,,,,,,"[102.353448,13.331138]",,,,,,VLVL211010400,,21101
Ou Thum,,VL211010500,xdH0pgybu2D,,,,,,,"[102.537327,13.267026]",,,,,,VLVL211010500,,21101
Ou,,VL211010600,aO35KNLYRMg,,,,,,,"[102.38369,13.223351]",,,,,,VLVL211010600,,21102
Phnom Pralean,,VL211020100,aO35KNLYRMg,,,,,,,"[102.428814,13.24774]",,,,,,VLVL211020100,,21102
Phnom Touch,,VL211020101,aO35KNLYRMg,,,,,,,"[102.38867,13.224143]",,,,,,VLVL211020101,,21102
Pech Chenda,,VL211020200,aO35KNLYRMg,,,,,,,"[102.406122,13.2001]",,,,,,VLVL211020200,,21102
Ou Tasok,,VL211020300,aO35KNLYRMg,,,,,,,"[102.447813,13.237804]",,,,,,VLVL211020300,,21102
Tuek Chenh,,VL211020400,aO35KNLYRMg,,,,,,,"[102.427525,13.265055]",,,,,,VLVL211020400,,21102
Ou Tapon,,VL211020401,aO35KNLYRMg,,,,,,,"[102.494685,13.232812]",,,,,,VLVL211020401,,21102
Snoul,,VL211020500,aO35KNLYRMg,,,,,,,"[102.505832,13.227708]",,,,,,VLVL211020500,,21102
Samaki,,VL211020600,aO35KNLYRMg,,,,,,,"[102.530825,13.213829]",,,,,,VLVL211020600,,21102
Anlong Mean,,VL211020700,aO35KNLYRMg,,,,,,,"[102.555457,13.233283]",,,,,,VLVL211020700,,21102
Kâkoh,,VL211020800,aO35KNLYRMg,,,,,,,"[102.496969,13.2586]",,,,,,VLVL211020800,,21102
Ou Ta Ni,,VL211021200,aO35KNLYRMg,,,,,,,"[102.410468,13.264575]",,,,,,VLVL211021200,,21102
Tuol,,VL211021400,jzOT3gSMb5W,,,,,,,"[102.358371,13.379764]",,,,,,VLVL211021400,,21104
Chamkar Trab,,VL211030100,jzOT3gSMb5W,,,,,,,"[102.353908,13.37352]",,,,,,VLVL211030100,,21104
Hong Tuek,,VL211030200,jzOT3gSMb5W,,,,,,,"[102.353102,13.370458]",,,,,,VLVL211030200,,21104
Chak Krei,,VL211030300,jzOT3gSMb5W,,,,,,,"[102.355599,13.375895]",,,,,,VLVL211030300,,21104
Damnak Ksan,,VL211030400,KCIGD2OLTbM,,,,,,,"[102.549544,13.349308]",,,,,,VLVL211030400,,21103
Ou Dar,,VL211030500,KCIGD2OLTbM,,,,,,,"[102.56806,13.337389]",,,,,,VLVL211030500,,21103
Phnum Prampir,,VL211030600,KCIGD2OLTbM,,,,,,,"[102.609977,13.300824]",,,,,,VLVL211030600,,21103
sras brambey,,VL211030700,KCIGD2OLTbM,,,,,,,"[102.609977,13.300824]",,,,,,VLVL211030700,,21103
Phnom prampirknong/bos am,,VL211030702,KCIGD2OLTbM,,,,,,,"[102.609977,13.300824]",,,,,,VLVL211030702,,21103
Buor,,VL211030704,KCIGD2OLTbM,,,,,,,"[102.611638,13.286654]",,,,,,VLVL211030704,,21103
Anlong Krouch,,VL211030800,KCIGD2OLTbM,,,,,,,"[102.632697,13.282098]",,,,,,VLVL211030800,,21103
Anlong Sdey,,VL211030900,KCIGD2OLTbM,,,,,,,"[102.615119,13.276214]",,,,,,VLVL211030900,,21103
Spean Tumneap,,VL211031000,KCIGD2OLTbM,,,,,,,"[102.661965,13.27861]",,,,,,VLVL211031000,,21103
Damnak Beng,,VL211031100,KCIGD2OLTbM,,,,,,,"[102.661683,13.274595]",,,,,,VLVL211031100,,21103
Ou Chrey,,VL211031200,KCIGD2OLTbM,,,,,,,"[0,0]",,,,,,VLVL211031200,,21103
Tuol Chrey,,VL211031300,jzOT3gSMb5W,,,,,,,"[102.351665,13.342384]",,,,,,VLVL211031300,,21104
Ou Chaot,,VL211040100,jzOT3gSMb5W,,,,,,,"[102.349056,13.346449]",,,,,,VLVL211040100,,21104
Tuol Khvav,,VL211040200,jzOT3gSMb5W,,,,,,,"[102.353531,13.365873]",,,,,,VLVL211040200,,21104
Prakam Phean,,VL211040300,jzOT3gSMb5W,,,,,,,"[102.352536,13.367516]",,,,,,VLVL211040300,,21104
Barang Thleak,,VL211040301,jzOT3gSMb5W,,,,,,,"[102.348713,13.347394]",,,,,,VLVL211040301,,21104
Chamkar Srov,,VL211040400,jzOT3gSMb5W,,,,,,,"[102.349596,13.35697]",,,,,,VLVL211040400,,21104
Tuol Ampil,,VL211040500,jzOT3gSMb5W,,,,,,,"[102.350244,13.360952]",,,,,,VLVL211040500,,21104
Ou Kalsamyong,,VL211040600,jzOT3gSMb5W,,,,,,,"[102.497201,13.314085]",,,,,,VLVL211040600,,21104
Phnum Pom,,VL211040700,jzOT3gSMb5W,,,,,,,"[102.348532,13.352288]",,,,,,VLVL211040700,,21104
Toulkorkah,,VL211040701,jzOT3gSMb5W,,,,,,,"[102.494664,13.2799]",,,,,,VLVL211040701,,21104
Ou Chrey,,VL211040800,jzOT3gSMb5W,,,,,,,"[102.564302,13.274947]",,,,,,VLVL211040800,,21104
Samraong,,VL211040900,p1iBITgHj1K,,,,,,,"[102.375225,13.241377]",,,,,,VLVL211040900,,21105
Ou Rumduol,,VL211050100,p1iBITgHj1K,,,,,,,"[102.371377,13.249351]",,,,,,VLVL211050100,,21105
Ou Prayut,,VL211050200,p1iBITgHj1K,,,,,,,"[102.369921,13.263844]",,,,,,VLVL211050200,,21105
Kandal,,VL211050300,p1iBITgHj1K,,,,,,,"[102.373383,13.271207]",,,,,,VLVL211050300,,21105
Thnal Bat,,VL211050400,p1iBITgHj1K,,,,,,,"[102.374693,13.273759]",,,,,,VLVL211050400,,21105
Ou Lhong,,VL211050500,p1iBITgHj1K,,,,,,,"[102.384148,13.280586]",,,,,,VLVL211050500,,21105
Krouskrahom,,VL211050600,p1iBITgHj1K,,,,,,,"[102.583924,13.239238]",,,,,,VLVL211050600,,21105
khyol phyos,,VL211050700,p1iBITgHj1K,,,,,,,"[102.583924,13.239238]",,,,,,VLVL211050700,,21105
Kamrieng,,VL211050701,UA2m7nfRm5H,,,,,,,"[102.500195,13.046677]",,,,,,VLVL211050701,,21201
Svay Veaeng,,VL212010100,UA2m7nfRm5H,,,,,,,"[102.502605,13.048074]",,,,,,VLVL212010100,,21201
Svay Sa,,VL212010200,UA2m7nfRm5H,,,,,,,"[102.492535,13.04326]",,,,,,VLVL212010200,,21201
Sralau Tong,,VL212010300,UA2m7nfRm5H,,,,,,,"[102.561342,13.01917]",,,,,,VLVL212010300,,21201
Ou Chrey,,VL212010400,UA2m7nfRm5H,,,,,,,"[102.516434,13.012329]",,,,,,VLVL212010400,,21201
Roka Bos,,VL212010500,UA2m7nfRm5H,,,,,,,"[102.582495,13.021546]",,,,,,VLVL212010500,,21201
Lak Hokpir,,VL212010600,UA2m7nfRm5H,,,,,,,"[102.517675,12.992211]",,,,,,VLVL212010600,,21201
Boeng Ou Cheang,,VL212010700,UA2m7nfRm5H,,,,,,,"[102.538008,12.994266]",,,,,,VLVL212010700,,21201
Doung,,VL212010800,MBxlVv9iAQk,,,,,,,"[102.445641,13.091461]",,,,,,VLVL212010800,,21202
Ou Da Leu,,VL212020100,MBxlVv9iAQk,,,,,,,"[102.454402,13.084682]",,,,,,VLVL212020100,,21202
Ou Krouch,,VL212020200,MBxlVv9iAQk,,,,,,,"[102.463668,13.083418]",,,,,,VLVL212020200,,21202
Svay,,VL212020300,MBxlVv9iAQk,,,,,,,"[102.48744,13.051333]",,,,,,VLVL212020300,,21202
Svay Thum,,VL212020400,MBxlVv9iAQk,,,,,,,"[102.459322,13.084857]",,,,,,VLVL212020400,,21202
Boeung Reang,,VL212020500,MBxlVv9iAQk,,,,,,,"[102.468251,13.083219]",,,,,,VLVL212020500,,21202
Preah Puth,,VL212020600,MBxlVv9iAQk,,,,,,,"[102.486691,13.078954]",,,,,,VLVL212020600,,21202
Kandal (Ou Da),,VL212020700,aeolgbnbwT4,,,,,,,"[102.495276,13.089454]",,,,,,VLVL212020700,,21203
Svay Chrum,,VL212030100,aeolgbnbwT4,,,,,,,"[102.4991,13.093178]",,,,,,VLVL212030100,,21203
Ou Kokir (Ou Da),,VL212030200,aeolgbnbwT4,,,,,,,"[102.517674,13.106166]",,,,,,VLVL212030200,,21203
Ou Da,,VL212030300,aeolgbnbwT4,,,,,,,"[102.488787,13.087611]",,,,,,VLVL212030300,,21203
Thmei,,VL212030400,aeolgbnbwT4,,,,,,,"[102.488525,13.077065]",,,,,,VLVL212030400,,21203
Kampong Lei,,VL212030500,aeolgbnbwT4,,,,,,,"[102.582439,13.081341]",,,,,,VLVL212030500,,21203
Lumphat,,VL212030600,aeolgbnbwT4,,,,,,,"[102.529026,13.110063]",,,,,,VLVL212030600,,21203
Manaos Kal,,VL212030700,aeolgbnbwT4,,,,,,,"[102.612418,13.100007]",,,,,,VLVL212030700,,21203
Samraong,,VL212030800,aeolgbnbwT4,,,,,,,"[102.537193,13.064578]",,,,,,VLVL212030800,,21203
Tang Yu,,VL212030900,aeolgbnbwT4,,,,,,,"[102.570308,13.128427]",,,,,,VLVL212030900,,21203
Trang,,VL212031000,uIjBJaQqn8Z,,,,,,,"[102.43619,13.108804]",,,,,,VLVL212031000,,21204
Kandal,,VL212040100,uIjBJaQqn8Z,,,,,,,"[102.430495,13.116589]",,,,,,VLVL212040100,,21204
Svay Prey,,VL212040200,uIjBJaQqn8Z,,,,,,,"[102.423714,13.12523]",,,,,,VLVL212040200,,21204
Thmei,,VL212040300,uIjBJaQqn8Z,,,,,,,"[102.438049,13.104594]",,,,,,VLVL212040300,,21204
Lvea Te,,VL212040400,uIjBJaQqn8Z,,,,,,,"[102.509121,13.15885]",,,,,,VLVL212040400,,21204
Ta Saen,,VL212040500,uIjBJaQqn8Z,,,,,,,"[102.425651,13.119784]",,,,,,VLVL212040500,,21204
Ou Kokir (Trang),,VL212040600,uIjBJaQqn8Z,,,,,,,"[102.466051,13.136318]",,,,,,VLVL212040600,,21204
Ou Chambak,,VL212040700,uIjBJaQqn8Z,,,,,,,"[102.473326,13.143141]",,,,,,VLVL212040700,,21204
Phnum Muoyrouy,,VL212040800,uIjBJaQqn8Z,,,,,,,"[102.483438,13.145951]",,,,,,VLVL212040800,,21204
Dei Kraham,,VL212040900,J5CdFcTTSKh,,,,,,,"[102.413756,13.179968]",,,,,,VLVL212040900,,21205
Ou Chamlang,,VL212050100,J5CdFcTTSKh,,,,,,,"[102.412933,13.145964]",,,,,,VLVL212050100,,21205
Ou Anlok,,VL212050200,J5CdFcTTSKh,,,,,,,"[102.405102,13.18924]",,,,,,VLVL212050200,,21205
Ou Tuek Thla,,VL212050300,J5CdFcTTSKh,,,,,,,"[102.505223,13.179592]",,,,,,VLVL212050300,,21205
Samaki,,VL212050400,J5CdFcTTSKh,,,,,,,"[102.546832,13.187294]",,,,,,VLVL212050400,,21205
Sam maki 2,,VL212050500,J5CdFcTTSKh,,,,,,,"[102.546832,13.187294]",,,,,,VLVL212050500,,21205
Ou Tuek Thla (Trachakchetr),,VL212050501,J5CdFcTTSKh,,,,,,,"[102.501898,13.191991]",,,,,,VLVL212050501,,21205
Ou Trorchakchet,,VL212050600,J5CdFcTTSKh,,,,,,,"[0,0]",,,,,,VLVL212050600,,21205
Damnak Sala,,VL212050700,pCpBYoWE1yZ,,,,,,,"[102.732035,13.106112]",,,,,,VLVL212050700,,21206
Kampong Chamlang Leu,,VL212060100,pCpBYoWE1yZ,,,,,,,"[102.63886,13.119777]",,,,,,VLVL212060100,,21206
Kampong Chamlang Kroam,,VL212060200,pCpBYoWE1yZ,,,,,,,"[102.637793,13.092516]",,,,,,VLVL212060200,,21206
Kamprang,,VL212060300,pCpBYoWE1yZ,,,,,,,"[102.656922,13.12446]",,,,,,VLVL212060300,,21206
Sras Tuek Thmei,,VL212060400,pCpBYoWE1yZ,,,,,,,"[102.742007,13.114603]",,,,,,VLVL212060400,,21206
Plow Pramuy,,VL212060500,pCpBYoWE1yZ,,,,,,,"[102.613814,13.149497]",,,,,,VLVL212060500,,21206
Phum Samseb,,VL212060501,pCpBYoWE1yZ,,,,,,,"[102.61206,13.154253]",,,,,,VLVL212060501,,21206
Sras Kampaok,,VL212060600,pCpBYoWE1yZ,,,,,,,"[102.685597,13.148809]",,,,,,VLVL212060600,,21206
Ta Krei,,VL212060700,pCpBYoWE1yZ,,,,,,,"[102.707638,13.105544]",,,,,,VLVL212060700,,21206
Tuol Til,,VL212060800,pCpBYoWE1yZ,,,,,,,"[102.688914,13.1135]",,,,,,VLVL212060800,,21206
Ra,,VL212060900,pIi83AKlddc,,,,,,,"[103.274775,12.863166]",,,,,,VLVL212060900,,21301
Samraong,,VL213010100,pIi83AKlddc,,,,,,,"[103.318758,12.874172]",,,,,,VLVL213010100,,21301
Chhay Ballangk,,VL213010200,pIi83AKlddc,,,,,,,"[103.262266,12.846913]",,,,,,VLVL213010200,,21301
Cheung Tinh,,VL213010300,pIi83AKlddc,,,,,,,"[103.265914,12.860305]",,,,,,VLVL213010300,,21301
Ta Thok,,VL213010400,pIi83AKlddc,,,,,,,"[103.240455,12.864944]",,,,,,VLVL213010400,,21301
Kantuot,,VL213010500,pIi83AKlddc,,,,,,,"[103.263279,12.874958]",,,,,,VLVL213010500,,21301
Kouk Poun,,VL213010600,pIi83AKlddc,,,,,,,"[103.257238,12.892002]",,,,,,VLVL213010600,,21301
Boeng Snao,,VL213010700,pIi83AKlddc,,,,,,,"[103.287409,12.865436]",,,,,,VLVL213010700,,21301
Tuol Mtes,,VL213010800,pIi83AKlddc,,,,,,,"[103.234086,12.870578]",,,,,,VLVL213010800,,21301
Koun Prum,,VL213010900,pIi83AKlddc,,,,,,,"[103.27465,12.874762]",,,,,,VLVL213010900,,21301
Boeng Reang,,VL213011000,pIi83AKlddc,,,,,,,"[103.264912,12.825056]",,,,,,VLVL213011000,,21301
Koas Krala,,VL213011100,w3qsuWOM5Vr,,,,,,,"[103.263892,12.768103]",,,,,,VLVL213011100,,21302
Spean,,VL213020100,w3qsuWOM5Vr,,,,,,,"[103.269926,12.76234]",,,,,,VLVL213020100,,21302
Voat,,VL213020200,w3qsuWOM5Vr,,,,,,,"[103.263794,12.77029]",,,,,,VLVL213020200,,21302
Tuol Ballangk,,VL213020300,w3qsuWOM5Vr,,,,,,,"[103.261816,12.771407]",,,,,,VLVL213020300,,21302
Tuol Ta Muem,,VL213020400,w3qsuWOM5Vr,,,,,,,"[103.272577,12.751754]",,,,,,VLVL213020400,,21302
Thmei,,VL213020500,w3qsuWOM5Vr,,,,,,,"[103.262163,12.751568]",,,,,,VLVL213020500,,21302
Prey Popel,,VL213020600,w3qsuWOM5Vr,,,,,,,"[103.257416,12.75762]",,,,,,VLVL213020600,,21302
Boeung Chhneah,,VL213020700,w3qsuWOM5Vr,,,,,,,"[103.249854,12.744392]",,,,,,VLVL213020700,,21302
Damnak Kakaoh,,VL213020800,w3qsuWOM5Vr,,,,,,,"[103.248128,12.739635]",,,,,,VLVL213020800,,21302
Hab,,VL213020900,AiZE82RcXae,,,,,,,"[103.300807,12.802014]",,,,,,VLVL213020900,,21303
Chambak,,VL213030100,AiZE82RcXae,,,,,,,"[103.300889,12.791132]",,,,,,VLVL213030100,,21303
Sambour,,VL213030200,AiZE82RcXae,,,,,,,"[103.297482,12.788154]",,,,,,VLVL213030200,,21303
Sameakki,,VL213030300,AiZE82RcXae,,,,,,,"[103.278864,12.783414]",,,,,,VLVL213030300,,21303
Trapeang Dang Tuek,,VL213030400,AiZE82RcXae,,,,,,,"[103.280212,12.789669]",,,,,,VLVL213030400,,21303
Kouk Trom,,VL213030500,AiZE82RcXae,,,,,,,"[103.32555,12.819682]",,,,,,VLVL213030500,,21303
Klaeng Chuor,,VL213030600,AiZE82RcXae,,,,,,,"[103.31532,12.774565]",,,,,,VLVL213030600,,21303
Sach Hab,,VL213030700,Vwd0IBqTAkP,,,,,,,"[103.303506,12.749442]",,,,,,VLVL213030700,,21304
Boeng Preah,,VL213040100,Vwd0IBqTAkP,,,,,,,"[103.275107,12.742497]",,,,,,VLVL213040100,,21304
Prey Phdau,,VL213040200,Vwd0IBqTAkP,,,,,,,"[103.273799,12.720885]",,,,,,VLVL213040200,,21304
Kab Prich,,VL213040300,Vwd0IBqTAkP,,,,,,,"[103.271875,12.735669]",,,,,,VLVL213040300,,21304
Ta Khao,,VL213040400,Vwd0IBqTAkP,,,,,,,"[103.285916,12.735932]",,,,,,VLVL213040400,,21304
Koy Veaeng,,VL213040500,Vwd0IBqTAkP,,,,,,,"[103.247911,12.693444]",,,,,,VLVL213040500,,21304
Prey Chak,,VL213040600,Vwd0IBqTAkP,,,,,,,"[103.280115,12.687969]",,,,,,VLVL213040600,,21304
Ta Nuot,,VL213040700,Vwd0IBqTAkP,,,,,,,"[103.255995,12.656762]",,,,,,VLVL213040700,,21304
A Rei,,VL213040800,Vwd0IBqTAkP,,,,,,,"[,]",,,,,,VLVL213040800,,21304
Boeang Preah Kralanh,,VL213040801,Vwd0IBqTAkP,,,,,,,"[103.318509,12.707224]",,,,,,VLVL213040801,,21304
